Date,Cases
2022-01-01,87708
2022-02-01,84297
2022-03-01,101462
2022-04-01,83119
2022-05-01,94917
2022-06-01,98521
2022-07-01,92360
2022-08-01,99109
2022-09-01,98706
2022-10-01,98122
2022-11-01,89018
2022-12-01,92478
2023-01-01,86840
2023-02-01,128414
2023-03-01,118145
2023-04-01,105205
2023-05-01,118347
2023-06-01,113308
2023-07-01,103796
2023-08-01,126694
2023-09-01,142766
2023-10-01,131275
2023-11-01,140491
2023-12-01,151924
2024-01-01,128299
2024-02-01,102835
2024-03-01,130614
2024-04-01,114603
2024-05-01,128967
2024-06-01,126752
2024-07-01,111337
2024-08-01,145878
2024-09-01,136883
2024-10-01,136212
2024-11-01,125380
2024-12-01,123478
